
Product,Type,UOM,Collected RRP EX VAT,Transport RRP EX VAT,Delivered RRP EX VAT,Delivered Incl Vat,Weight,Length,Width,Height
Plaster,NFP,1000,"R1,555.00",R499.55,"R2,054.55","R2,362.73",,,,
Selected Stocks,NFP,1000,"R1,620.00",R499.55,"R2,119.55","R2,437.48",,,,
Base Klinker,NFX,1000,"R1,620.00",R499.55,"R2,119.55","R2,437.48",,,,
Satin - Blue Slate,FBA,1000,"R2,585.00",R499.55,"R3,084.55","R3,547.23",,,,
Satin - Brown Slate,FBA,1000,"R2,585.00",R499.55,"R3,084.55","R3,547.23",,,,
Rainbow Red,FBA,1000,"R3,060.00",R499.55,"R3,559.55","R4,093.48",,,,
Rainbow Blue,FBA,1000,"R3,060.00",R499.55,"R3,559.55","R4,093.48",,,,
Rainbow Yellow,FBA,1000,"R3,060.00",R499.55,"R3,559.55","R4,093.48",,,,
Nova Star,FBA,1000,"R3,190.00",R499.55,"R3,689.55","R4,242.98",,,,
Nova Star Dark,FBA,1000,"R3,190.00",R499.55,"R3,689.55","R4,242.98",,,,
Rustic - Blue Slate,FBA,1000,"R3,900.00",R499.55,"R4,399.55","R5,059.48",,,,
Rustic - Brown Slate,FBA,1000,"R3,900.00",R499.55,"R4,399.55","R5,059.48",,,,
Rustic - Burnt Jasper,FBA,1000,"R3,900.00",R499.55,"R4,399.55","R5,059.48",,,,
Half Bricks,NFP,1000,R320.00,R0.00,R320.00,R368.00,,,,
Cottage - Brick Tiles,FBA,m2,R200.00,R0.00,R200.00,R230.00,,,,
Classic - Brick Tiles,FBA,m2,R350.00,R0.00,R350.00,R402.50,,,,
,,,,,,,,,,
,,,,,,,,,,
Truckloads - 4000/5000/6000/7000 and 10000 Units,,,,,,,,,,
"5% Breakage allowed on all semi-face clay bricks (FBA,FNX)",,,,,,,,,,
10% Breakage allowed on all Clay Plaster Bricks (NFP),,,,,,,,,,
Loading = R60.00 per 1000 ex Vat,,,,,,,,,,
